date,ndvi_sg,ndvi_sg_scaled
2020-02-05,0.248005467650838,0.20623001769571891
2020-02-10,0.233181028887912,0.19485270714777103
2020-02-15,0.221241977333725,0.18568984443490735
2020-02-20,0.212188312988277,0.17874142955712793
2020-02-25,0.206020035851568,0.17400746251443272
2020-03-01,0.205382971401129,0.1735185347238017
2020-03-06,0.206555271604317,0.1744182398445411
2020-03-11,0.207049466229261,0.17479751934436108
2020-03-16,0.204194279511615,0.17260624947718245
2020-03-21,0.196934681273617,0.1670347263370554
2020-03-26,0.186768322911931,0.15923235229292676
2020-03-31,0.176011211412338,0.15097659299660554
2020-04-05,0.166170961247276,0.14342449717781527
2020-04-10,0.158724755324287,0.1377097582561852
2020-04-15,0.154846866236472,0.13473359510234575
2020-04-20,0.155058084231617,0.13489569855614322
2020-04-25,0.158445713279599,0.13749560188580784
2020-04-30,0.163601074240763,0.14145218625166028
2020-05-05,0.169756027401396,0.14617592754375716
2020-05-10,0.176614571519019,0.15143965371787346
2020-05-15,0.185287227161905,0.15809565588446417
2020-05-20,0.200740031873021,0.16995521838438427
2020-05-25,0.227488924981154,0.19048418872666684
2020-05-30,0.263316589182553,0.21798084261998812
2020-06-04,0.303455200242349,0.24878601847141166
2020-06-09,0.342420920346439,0.27869103581731935
2020-06-14,0.374758359243634,0.3035090468423829
2020-06-19,0.396672379671058,0.3203273979276463
2020-06-24,0.408301822466881,0.32925264523741754
2020-06-29,0.41476894351404,0.3342159659864436
2020-07-04,0.420374094159741,0.3385177503969034
2020-07-09,0.424563397585032,0.3417329146814574
2020-07-14,0.42731024704335,0.34384103896295826
2020-07-19,0.429156263196311,0.34525780079688956
2020-07-24,0.430073617679861,0.34596184275144926
2020-07-29,0.429730407838626,0.3456984395286164
2020-08-03,0.427745460373999,0.344175052094692
2020-08-08,0.423906770096027,0.3412289728475573
2020-08-13,0.418327994814886,0.33694743073552197
2020-08-18,0.411631962397196,0.33180842739964467
2020-08-23,0.405664712351009,0.3272287425981861
2020-08-28,0.402360349887129,0.3246927438655686
2020-09-02,0.402143132329536,0.3245260359281739
2020-09-07,0.403124715935552,0.325279371800986
2020-09-12,0.402406982771524,0.3247285332007329
2020-09-17,0.398279803394331,0.3215610472532148
2020-09-22,0.391074451705522,0.3160311567068168
2020-09-27,0.382145502931829,0.30917845727653004
2020-10-02,0.373964912497718,0.3029001003469432
2020-10-07,0.368488232413796,0.2986969132257976
2020-10-12,0.365944222439017,0.29674446214262246
2020-10-17,0.364302159788618,0.2954842284830861
2020-10-22,0.361126817524952,0.2930472488707381
2020-10-27,0.355381005744268,0.28863751127295556
2020-11-01,0.347423232354708,0.28253015971846407
2020-11-06,0.337739057149769,0.27509784673384885
2020-11-11,0.327018770424953,0.26687034934377557
2020-11-16,0.315863142707798,0.2583087408454639
2020-11-21,0.3048228743183,0.24983566715891453
2020-11-26,0.294554844414229,0.24195526326622963
2020-12-01,0.285633024951634,0.23510803536762456
2020-12-06,0.278243113561487,0.22943650080553468
2020-12-11,0.272207640072728,0.22480445656536785
2020-12-16,0.267208967647938,0.22096812593499499
2020-12-21,0.262810279523061,0.21759226519580446
2020-12-26,0.25832881655711,0.21415287725753968
2020-12-31,0.252937642853485,0.21001531370960508
2021-01-05,0.24623332919249,0.2048699547687493
2021-01-10,0.238575025288574,0.19899243703072086
2021-01-15,0.2308671332579,0.19307686189796477
2021-01-20,0.224112448633368,0.18789284475871618
2021-01-25,0.218840036379424,0.1838464270487963
2021-01-30,0.215015647474171,0.18091132367476465
2021-02-04,0.211959893093265,0.1785661241629446
2021-02-09,0.208613021241909,0.17599750075493462
2021-02-14,0.203923895554356,0.172398737928306
2021-02-19,0.197459679937365,0.1674376470094829
2021-02-24,0.189610923117013,0.1614139623905555
2021-03-01,0.181152934891775,0.15492271100570876
2021-03-06,0.172603203510724,0.148361049510164
2021-03-11,0.164456785225051,0.1421089186759516
2021-03-16,0.157145493609258,0.1364977224242922
2021-03-21,0.150905669522137,0.1317088452506562
2021-03-26,0.145646999298706,0.12767297413553197
2021-03-31,0.141308145441678,0.12434303439595659
2021-04-05,0.137918676634813,0.1217417191067244
2021-04-10,0.135578625382376,0.11994580020396825
2021-04-15,0.134092500351159,0.11880524397356851
2021-04-20,0.134371921392916,0.11901969121278885
2021-04-25,0.137788844521248,0.12164207686739598
2021-04-30,0.145032251842642,0.12720117396636182
2021-05-05,0.155639464801762,0.13534189064468455
2021-05-10,0.168687768302267,0.1453560708388371
2021-05-15,0.1832454810169,0.15652867717294008
2021-05-20,0.199326276677202,0.16887020382438397
2021-05-25,0.217641776486035,0.1829267986471915
2021-05-30,0.240948934721282,0.20081434106773352
2021-06-04,0.267687027063848,0.221335022147537
2021-06-09,0.297856053513733,0.24448884188660197
2021-06-14,0.331456014070938,0.27027580028492915
