date,ndvi_sg,ndvi_sg_scaled
2020-02-05,0.176862125170208,0.16342075923496624
2020-02-10,0.174321790565307,0.16177660988994513
2020-02-15,0.173368972471295,0.1611599292203311
2020-02-20,0.174003670888172,0.1615707172261241
2020-02-25,0.176225885815937,0.16300897390732352
2020-03-01,0.180249417334309,0.16561307444504023
2020-03-06,0.186530827121088,0.16967851360680153
2020-03-11,0.194100701097116,0.17457786950880239
2020-03-16,0.20096379156778,0.17901978266480673
2020-03-21,0.205224440105167,0.18177734951784852
2020-03-26,0.206156810332145,0.1823807959674011
2020-03-31,0.203742449972527,0.1808181793749835
2020-04-05,0.198412220098768,0.17736836062321543
2020-04-10,0.191634750195544,0.1729818626080375
2020-04-15,0.184965353804769,0.1686653116755645
2020-04-20,0.179227523362705,0.1649516866495694
2020-04-25,0.174519934385458,0.16190485206382754
2020-04-30,0.171228229297335,0.15977440249462563
2020-05-05,0.170493815820209,0.1592990771437597
2020-05-10,0.173233591812434,0.16107230847101506
2020-05-15,0.179755482579918,0.16529339116341726
2020-05-20,0.189916597030798,0.17186984358699472
2020-05-25,0.203136962527765,0.18042629722536302
2020-05-30,0.218305198741849,0.19024344713482683
2020-06-04,0.234759815581882,0.20089316526562712
2020-06-09,0.252468680014554,0.212354654552067
2020-06-14,0.271680791596149,0.22478907189709343
2020-06-19,0.292683415091255,0.238382340121123
2020-06-24,0.315589258387535,0.2532074057562079
2020-06-29,0.34013866358787,0.2690962136332953
2020-07-04,0.365517668387501,0.28552195299774685
2020-07-09,0.390302805130886,0.30156333048568734
2020-07-14,0.413371527639138,0.3164938144184897
2020-07-19,0.433518264155089,0.32953313749943663
2020-07-24,0.449102192925869,0.33961933096068425
2020-07-29,0.458673912377349,0.34581431654900596
2020-08-03,0.461451467864717,0.34761199943160953
2020-08-08,0.457620762303491,0.34513269925307893
2020-08-13,0.448412194981593,0.3391727521257707
2020-08-18,0.436182855292002,0.3312577078627472
2020-08-23,0.425341550451197,0.3242410242263495
2020-08-28,0.419863711455712,0.3206956702484987
2020-09-02,0.420502808768556,0.3211093052973186
2020-09-07,0.423390413292249,0.32297821385651015
2020-09-12,0.422625472754507,0.3224831308537899
2020-09-17,0.413872200638384,0.31681785881098506
2020-09-22,0.396916784090535,0.30584401427966895
2020-09-27,0.374832331279747,0.2915505670487591
2020-10-02,0.353274865164836,0.2775981948987419
2020-10-07,0.336599869235685,0.26680584353595294
2020-10-12,0.326126749763979,0.2600274559619253
2020-10-17,0.31909993401065,0.25547957691633394
2020-10-22,0.31170759717158,0.2506951261795358
2020-10-27,0.301825862268572,0.2442994931250918
2020-11-01,0.28996883692838,0.2366254172732868
2020-11-06,0.277266427308899,0.22840419381092586
2020-11-11,0.264538773335516,0.22016663175763546
2020-11-16,0.25182423491457,0.21193755832112302
2020-11-21,0.239371702961539,0.2038780600900905
2020-11-26,0.227515437498444,0.19620447604414007
2020-12-01,0.216595593935475,0.18913696076203884
2020-12-06,0.206838352016664,0.18282190176190732
2020-12-11,0.198279314473004,0.17728234175895718
2020-12-16,0.190800586127135,0.17244197691578703
2020-12-21,0.184181942055939,0.1681582737793615
2020-12-26,0.178163333034685,0.1642629239064976
2020-12-31,0.172521667284189,0.16061153836436837
2021-01-05,0.167179100826126,0.157153735157732
2021-01-10,0.16214283141864,0.15389417280256318
2021-01-15,0.157588874101534,0.1509467713359498
2021-01-20,0.153693025147621,0.14842530920512675
2021-01-25,0.150486073793989,0.1463497137471835
2021-01-30,0.147636210342468,0.1445052318753159
2021-02-04,0.144723128990532,0.14261983426370264
2021-02-09,0.141563666403142,0.14057497437254732
2021-02-14,0.138683789790807,0.1387110674538378
2021-02-19,0.136958946620876,0.13759471854348757
2021-02-24,0.137084734090624,0.13767613041167182
2021-03-01,0.138753830495119,0.13875639903255865
2021-03-06,0.140885630001037,0.1401361372586212
2021-03-11,0.142116358662447,0.14093268654730629
2021-03-16,0.141920485661965,0.14080591408795054
2021-03-21,0.140843074750276,0.14010859475003556
2021-03-26,0.140245932634775,0.13972211384464958
2021-03-31,0.140947884307922,0.14017642934364505
2021-04-05,0.14250261487788,0.14118267838003148
2021-04-10,0.143523970341743,0.1418437176437979
2021-04-15,0.143172259257585,0.1416160840291003
2021-04-20,0.141178690664508,0.14032581128698254
2021-04-25,0.138308289749911,0.13846803720691542
2021-04-30,0.136273381519447,0.1371510087226202
2021-05-05,0.136736762138068,0.13745091682887178
2021-05-10,0.14049633481886,0.13988417855303914
2021-05-15,0.147625793246311,0.14449848974701887
2021-05-20,0.158736951414138,0.15168982721445878
2021-05-25,0.175209213646289,0.16235096575414437
2021-05-30,0.196839609652713,0.1763505394157783
2021-06-04,0.223371228710525,0.19352227104990732
2021-06-09,0.254804070819723,0.2138661606565302
2021-06-14,0.29113813598031,0.23738220823564882
