date,ndvi_sg_scaled,T2M,PPT,RAD,RH
2020-02-05,0.16342075923496624,15.39,8.35,16.43,65.62
2020-02-10,0.16177660988994513,17.94,0,20.29,50.46
2020-02-15,0.1611599292203311,18.43,0,21.09,41.4
2020-02-20,0.1615707172261241,21.23,31.87,15.59,63.14
2020-02-25,0.16300897390732352,19.105,0.01,20.75,56.135
2020-03-01,0.16561307444504025,21.98,6.01,20.42,56.1
2020-03-06,0.16967851360680153,21.1,8.25,19.89,62.25
2020-03-11,0.1745778695088024,22.26,36.79,17.92,70.31
2020-03-16,0.17901978266480673,22.12,7.26,19.04,56.26
2020-03-21,0.18177734951784852,23.59,1.68,21.31,54.55
2020-03-26,0.1823807959674011,26.33,0.97,20.88,54.87
2020-03-31,0.1808181793749835,26.94,1.05,22.18,53.36
2020-04-05,0.17736836062321543,28.12,1.5,23.4,33.98
2020-04-10,0.1729818626080375,31.32,0.01,25.29,24.13
2020-04-15,0.1686653116755645,31.6,0.15,21.34,24.03
2020-04-20,0.1649516866495694,31.08,2.59,23.87,26.33
2020-04-25,0.16190485206382754,28.29,15.68,24.63,45.27
2020-04-30,0.15977440249462563,31.04,4.21,25.29,32.43
2020-05-05,0.1592990771437597,30.98,12.02,23.86,42.99
2020-05-10,0.16107230847101506,31.87,37.330000000000005,23.13,38.17
2020-05-15,0.16529339116341726,30.64,171.67999999999998,23.49,47.12
2020-05-20,0.17186984358699472,32.96,0,28,34.39
2020-05-25,0.18042629722536305,33.77,4.19,28.03,32.73
2020-05-30,0.19024344713482683,31.65,0.01,22.97,44
2020-06-04,0.20089316526562712,29.49,9.120000000000001,23.18,60.73
2020-06-09,0.212354654552067,27.51,49.51,14.89,75.3
2020-06-14,0.22478907189709343,26.8,62.43,14.45,78.99
2020-06-19,0.238382340121123,26.11,49.52,15.22,82.28
2020-06-24,0.2532074057562079,25.94,46.18,16.29,85.08
2020-06-29,0.2690962136332953,26.92,43.57,12.02,85.89
2020-07-04,0.28552195299774685,25.61,56.78,15.15,86.3
2020-07-09,0.30156333048568734,25.76,58.480000000000004,14.82,86.51
2020-07-14,0.3164938144184897,26.23,16.39,17.37,83.62
2020-07-19,0.32953313749943663,24.97,31.92,14.22,87.82
2020-07-24,0.33961933096068425,26.14,17.25,17.44,83.5
2020-07-29,0.34581431654900596,26.17,4.24,20.72,85.6
2020-08-03,0.34761199943160953,25.91,83.4,13.7,87.05
2020-08-08,0.34513269925307893,25.35,90.56,11.27,89.17
2020-08-13,0.3391727521257707,25.74,109.49000000000001,8.79,90.5
2020-08-18,0.3312577078627472,25.59,142.85,8.44,92.85
2020-08-23,0.3242410242263495,24.83,49.43,16,92.44
2020-08-28,0.3206956702484987,24.53,162.07999999999998,8.26,93.29
2020-09-02,0.3211093052973186,25.15,11.69,19.85,86.23
2020-09-07,0.32297821385651015,25.67,46.24,17.96,86.99
