date,ndvi_sg_scaled,T2M,PPT,RAD,RH
2021-04-15,0.20016588675974736,30.61,0.06,22.21,20.45
2021-04-20,0.19985375179879197,29.95,0.75,24.49,23.55
2021-04-25,0.201749346552935,32.51,0,25.62,9.26
2021-04-30,0.2061868191431945,31.77,3.07,21.35,28.64
2021-05-05,0.21335132521343636,31,34.269999999999996,21.22,44.71
2021-05-10,0.22352405976152848,29.88,5.72,23.99,46.61
2021-05-15,0.23632770862398836,28.4,49.57,19.92,72.42
2021-05-20,0.2506491555154547,29.27,0.12000000000000001,22.33,47.15
2021-05-25,0.2650961393846967,29.23,0.5900000000000001,24.92,48.23
2021-05-30,0.27867387425302353,31.72,0.09,13.88,49.29
2021-06-04,0.29227495764561173,28.76,61.629999999999995,20.43,65.18
2021-06-09,0.3058993895624614,27.31,54.01,18.38,78.1
2021-06-14,0.31954717000357163,26.22,29.73,17,79.79
